media-source,campaign,impressions,clicks,installs appsflyer,installs-ua appsflyer,installs-reattr appsflyer,installs-retarget appsflyer,installs-cost,ecpi appsflyer,revenue activity days cumulative appsflyer,revenue ltv days cumulative appsflyer,roas 1 days cumulative appsflyer,roas 7 days cumulative appsflyer,roas ltv days cumulative appsflyer,retention-rate 1 days on-period appsflyer,retention-rate 3 days on-period appsflyer,unique-users ltv days cumulative appsflyer EVENT_NAME_PLACEHOLDER,ecpa ltv days cumulative appsflyer EVENT_NAME_PLACEHOLDER,revenue ltv days cumulative appsflyer EVENT_NAME_PLACEHOLDER
emarsys,app40_postpurchase,,2251,831,831,,,,,,7671.61360784,,,,,,,,
googleadwords_int,SER|RET|Birthday - MM,4088,1295,830,5,1,824,2229.2562319999997,2.6858508819277107,,2588.15514326,,,1.1609949121631524,,,,,
googleadwords_int,SER|RET|Brand - Long Tail Brand - BR,,,825,110,5,710,175.935275,0.21325487878787877,,3165.99870679,,,17.995246870134487,,,,,
Facebook Ads,Valentines24 - Catalogue - Acquisition,,,825,623,4,198,,,,4650.74942343,,,,,,,,
Facebook Ads,Mothers24 - Demographics - Acquisition,,,823,660,12,151,,,,5280.299906040002,,,,,,,,
Apple Search Ads,18861888,,,815,786,29,,,,,6400.788603929999,,,,,,,,
Facebook Ads,Vday25 - FS android - Acquisition,,,804,803,,1,,,,1115.79,,,,,,,,
Facebook Ads,Valentines24 - Demographics - Acquisition,,,786,607,4,175,,,,4001.9012538500006,,,,,,,,
Facebook Ads,Valentines24 - Dynamic - Acquisition,,,763,624,5,134,,,,3941.9921607000006,,,,,,,,
bloomreach,BAU,,7327,738,738,,,,,,5369.17417493,,,,,,,,
Facebook Ads,Fday24 - Demographics - Acquisition,,,701,416,,285,,,,3310.10930318,,,,,,,,
bloomreach,BAU_v_220125_faceswap_bday,,9259,678,678,,,,,,4351.72932715,,,,,,,,
Facebook Ads,Vday25 - FS android APPINSTALL - retention,,,670,662,,8,,,,1538.34,,,,,,,,
Facebook Ads,Valentines24 - T2 - acquisition,,,661,531,4,126,,,,3192.2027841500003,,,,,,,,
googleadwords_int,SHP|ACQ|Mother's Day 25,,,658,,3,655,,,,1880.88977649,,,,,,,,
googleadwords_int,SHP|RET|All Products - Generics,189534,2742,640,,,640,1322.620004,2.06659375625,,1175.34267194,,,0.8886472822015474,,,,,
googleadwords_int,Shoptimised | IP | Incremental | Performance Max |ACQ|,204084,1491,638,15,2,621,1205.2412940000002,1.8890929373040755,,1335.8514689099998,,,1.1083684865098886,,,,,
website-thortful,web-homepage-download-banner,,1064,638,638,,,,,,4407.07882312,,,,,,,,
Facebook Ads,Mday25 - FS android - Acquisition,,,621,615,,6,,,,187.67,,,,,,,,
website-thortful,web-PLP-download-MODAL-vday-faceswap,,1449,609,599,6,4,,,,4852.705457800001,,,,,,,,
googleadwords_int,SHP|ACQ|Father's Day 24,21844,204,560,,3,557,67.780001,0.12103571607142857,,1603.5687532799998,,,23.658435078512316,,,,,
googleadwords_int,SHP|ACQ|Valentine's Day 24 (v2),,,548,2,7,539,,,,1396.59522461,,,,,,,,
website-thortful,web-PLP-download-BANNER-vday-faceswap,,1625,516,500,6,10,,,,3269.91993043,,,,,,,,
Facebook Ads,Vday25 - Interests - Retention,,,515,250,1,264,,,,3307.85936756,,,,,,,,
googleadwords_int,SER|ACQ|Generic Cards - BR,37587,2799,510,,3,507,3923.0990910000005,7.692351158823531,,1314.6773858699999,,,0.3351119498577049,,,,,
website-thortful,web-account-download-banner,,1171,505,505,,,,,,4251.5236472,,,,,,,,
Facebook Ads,Fday24 - Interests - Acquisition,,,504,310,,194,,,,3199.4635657900008,,,,,,,,
Facebook Ads,Valentines24 - Interests - Retention,,,489,316,5,168,,,,3642.1350127200003,,,,,,,,
googleadwords_int,SER|ACQ|INT|Send to UK - MM,,,478,,2,476,687.0662540000002,1.4373771004184104,,2137.89656786,,,3.1116308731704923,,,,,
googleadwords_int,SER|ACQ|Valentine's - EX,,,470,,1,469,,,,1015.89926874,,,,,,,,
emarsys,crm-header-logo,4,5552,467,47,,420,,,,2116.4959855599996,,,,,,,,
Facebook Ads,None,,,466,295,,171,,,,578.94914078,,,,,,,,
transactional_postmark,footer-transactional,,2551,458,380,5,73,,,,1972.73106514,,,,,,,,
Facebook Ads,Valentines24 - Catalogue - Retention,,,443,279,3,161,,,,3497.18314495,,,,,,,,
bloomreach,BAU_M_050325_MDfaceswap,,4426,430,430,,,,,,3543.5403931900005,,,,,,,,
Facebook Ads,Acquisition_FD25_Interests,,,409,267,,142,,,,1638.9561506999999,,,,,,,,
Facebook Ads,Vday25 - Interests - Acquisition,,,401,262,,139,,,,2166.7638955499997,,,,,,,,
googleadwords_int,SHP|RET|Birthday - Generics,942856,14253,372,,,372,6188.769985,16.636478454301074,,816.00863367,,,0.13185312035312297,,,,,
print,print_App40Flyer2024,,722,368,368,,,,,,2672.08505652,,,,,,,,
googleadwords_int,SER|ACQ|Birthday - BR,69016,7038,367,,3,364,6927.324292000001,18.875543029972754,,919.79043748,,,0.13277715878585578,,,,,
Facebook Ads,Valentines24 - Advantage - Acquisition v2 Campaign,,,345,272,1,72,,,,2185.27380182,,,,,,,,
googleadwords_int,SER|ACQ|Father's Day - EX,,,342,1,4,337,248.262708,0.725914350877193,,1072.32163274,,,4.319302086803951,,,,,
QR_code,Face-swap-flyer-14-Jan,,620,340,340,,,,,,1243.5818985,,,,,,,,
Facebook Ads,Mothers24 - Catalogue - Acquisition,,,334,262,3,69,,,,1639.06414931,,,,,,,,
googleadwords_int,SHP|ACQ|Mother's Day 24,,,333,,2,331,,,,914.16358528,,,,,,,,
googleadwords_int,SER|ACQ|Valentine's - BR,,,327,,1,326,,,,568.2064531200001,,,,,,,,
googleadwords_int,SHP|RET|Christmas 24,,,324,,,324,,,,610.51993944,,,,,,,,
Facebook Ads,Valentines24 - Styles - Acquisition,,,310,247,,63,,,,1716.531919,,,,,,,,
Facebook Ads,Mday25 - FS android - Retention,,,308,299,,9,,,,1232.7454360100003,,,,,,,,
Facebook Ads,Valentines24 - Demographics - Retention,,,305,209,7,89,,,,2091.01031366,,,,,,,,
Facebook Ads,Vday25 - Demographics - Retention,,,302,178,,124,,,,2021.62748868,,,,,,,,
Facebook Ads,Vday25 - hero - Retention,,,302,178,,124,,,,2210.32799956,,,,,,,,
Facebook Ads,Acquisition_FD25_Demographics,,,297,190,,107,,,,1224.52703083,,,,,,,,
googleadwords_int,SER|RET|Congratulations - MM,,,294,,1,293,,,,657.3392008100001,,,,,,,,
Facebook Ads,Summer24 - BAU - Retention,,,285,164,1,120,,,,1802.97446475,,,,,,,,
Facebook Ads,Vday25 - FS android - Retention,,,280,280,,,,,,812.06,,,,,,,,
duckduckgo_organic_seo,None,,279,279,,,279,,,,1599.91687619,,,,,,,,
Facebook Ads,Valentines24 - Dynamic - Retention,,,269,193,3,73,,,,2055.9560357,,,,,,,,
googleadwords_int,SER|ACQ|DSA,,,267,2,1,264,163.47173600000002,0.6122536928838952,,506.19424885,,,3.09652458116674,,,,,
yahoo_organic_seo,None,,264,264,,,264,,,,1238.8717561800001,,,,,,,,
Facebook Ads,Acquisition_FD25_T2,,,259,161,1,97,,,,993.55182273,,,,,,,,
googleadwords_int,SHP|ACQ|Anniversary,,,259,,1,258,,,,538.9416395999999,,,,,,,,
googleadwords_int,SER|ACQ|Anniversaries - MM,,,250,3,,247,,,,579.51771209,,,,,,,,
Facebook Ads,Mothers24 - Demographics - Retention,,,248,165,2,81,,,,1564.55738446,,,,,,,,
googleadwords_int,SER|RET|Congratulations - BR,,,239,2,,237,,,,480.04644044,,,,,,,,
Facebook Ads,FDay24 - Styles - Acquisition,,,237,139,,98,,,,1785.7584298000002,,,,,,,,
Facebook Ads,Retention_FD25_T2,,,235,124,,111,,,,1292.5995113,,,,,,,,
googleadwords_int,SER|RET|Generic Cards - MM,,,232,,,232,886.1069170000001,3.8194263663793104,,706.09928069,,,0.7968556244663644,,,,,
Facebook Ads,Vday25 - Demographics - Acquisition,,,224,146,,78,,,,1063.48958851,,,,,,,,
googleadwords_int,SER|ACQ|Mother's Day - EX,,,210,,2,208,,,,565.25169894,,,,,,,,
Facebook Ads,Valentines24 - T2 - retention,,,209,137,1,71,,,,977.66578286,,,,,,,,
Facebook Ads,Vday25 - Catalogue - Retention,,,206,114,,92,,,,1451.34416006,,,,,,,,
Facebook Ads,Retention_FD25_Demographics,,,203,104,,99,,,,1099.95736411,,,,,,,,
googleadwords_int,SER|ACQ|Congratulations - MM,,,200,,,200,,,,403.48611643999993,,,,,,,,
Facebook Ads,Mday25 - Interests - Acquisition,,,199,145,,54,,,,1243.87806062,,,,,,,,
Facebook Ads,Valentines24 - ProductRetargeting - Acquisition,,,198,130,,68,,,,1013.71274885,,,,,,,,
googleadwords_int,SER|RET|Christmas - BR,,,198,,,198,,,,584.67766995,,,,,,,,
Facebook Ads,Christmas24 - Interests - Retention,,,193,117,,76,,,,1478.6576631199998,,,,,,,,
Facebook Ads,Christmas24 - Demographics - Retention,,,186,114,,72,,,,1829.31136959,,,,,,,,
Facebook Ads,Autumn24 - BAU - Retention,,,186,123,,63,,,,1513.41927884,,,,,,,,
Facebook Ads,Acquisition_FD25_Hero,,,183,112,,71,,,,906.3187769700002,,,,,,,,
googleadwords_int,SER|RET|Anniversaries - BR,384,72,181,1,1,179,101.856182,0.5627413370165746,,381.05777974,,,3.7411355134045765,,,,,
Facebook Ads,Retention_FD25_FSAndroid,,,181,178,,3,,,,354.1,,,,,,,,
googleadwords_int,SER|RET|Generic Cards - BR,5711,1020,180,,,180,1482.3406189999996,8.235225661111109,,392.68316879,,,0.26490751434370574,,,,,
Facebook Ads,Valentines24 - Styles - Retention,,,180,110,,70,,,,1287.18250459,,,,,,,,
Facebook Ads,Mothers24 - Catalogue - Retention,,,177,137,,40,,,,1398.11662129,,,,,,,,
Facebook Ads,Fday24 - Demographics - Retention,,,174,99,,75,,,,1248.11415691,,,,,,,,
Facebook Ads,Spring24 - Catalogue - Retention,959492,19391,174,114,,60,2908.1785059999997,16.713669574712643,,1370.71661458,,,0.4713316640474476,,,,,
Facebook Ads,Vday25 - Catalogue - Acquisition,,,171,119,1,51,,,,890.16983753,,,,,,,,
Facebook Ads,Retention_FD25_Interests,,,168,80,,88,,,,1113.3482985700002,,,,,,,,
emarsys,app180424,,442,164,164,,,,,,1636.46952767,,,,,,,,
Facebook Ads,Mothers24 - Styles - Acquisition,,,164,131,1,32,,,,995.0751836999999,,,,,,,,
googleadwords_int,SER|RET|Christmas - EX,,,163,,,163,,,,418.37215886999996,,,,,,,,
Facebook Ads,Vday25 - Online thoughtful - Acquisition,,,162,114,1,47,,,,796.40929513,,,,,,,,
Facebook Ads,Mothers24 - Dynamic - Acquisition,,,160,115,,45,,,,824.0258190200001,,,,,,,,
Facebook Ads,Vday25 - T2 - Acquisition,,,154,88,,66,,,,734.82260351,,,,,,,,
Facebook Ads,Fday24 - WkT-3 - Acquisition,,,152,99,,53,,,,952.4263307800002,,,,,,,,
Facebook Ads,Valentines24 - ProductRetargeting - Retention,,,146,92,,54,,,,1078.0309057200002,,,,,,,,
googleadwords_int,SER|ACQ|Engagements & Weddings - MM,,,142,,,142,,,,241.24610777000004,,,,,,,,
Facebook Ads,Mday25 - Demographics - Acquisition,,,142,93,,49,,,,951.96024007,,,,,,,,
Facebook Ads,Christmas24 - Hero - Retention,,,140,94,,46,,,,1146.0504035600002,,,,,,,,
Facebook Ads,Vday25 - Online Overwhelmed - Acquisition,,,136,89,,47,,,,669.5178747100001,,,,,,,,
googleadwords_int,Shoptimised | Performance MAX | NoClicks | New Customers Only | Incremental ACQ,254869,1212,133,,,133,336.354249,2.5289793157894733,,242.67305234,,,0.7214805612281711,,,,,
Facebook Ads,Mday25 - Interests - Retention,,,133,80,,53,,,,930.5859072600002,,,,,,,,
Facebook Ads,Mday25 - Demographics - Retention,,,132,81,,51,,,,938.0687382199999,,,,,,,,
googleadwords_int,SER|RET|Anniversaries - MM,,,132,,,132,,,,351.46568861,,,,,,,,
Facebook Ads,Mday25 - Hero - Acquisition,,,131,86,,45,,,,790.82475529,,,,,,,,
tiktokglobal_int,Valentines25 - Hero - Acquisition,,,129,129,,,,,,781.8702518499999,,,,,,,,
googleadwords_int,SER|RET|Brand - Long Tail Brand - EX,,,129,,1,128,,,,271.818233,,,,,,,,
Facebook Ads,Mothers24 - Interests - Retention,,,127,84,2,41,,,,1240.10809343,,,,,,,,
Facebook Ads,Vday25 - T2 - Retention,,,127,76,,51,,,,902.42127833,,,,,,,,
Facebook Ads,Mothers24 - Interests - Acquisition,,,126,85,,41,,,,867.24793564,,,,,,,,
Facebook Ads,Mday25 - T2 - Acquisition,,,125,78,1,46,,,,651.29818393,,,,,,,,
Facebook Ads,Vday25 - T1 Creative - Retention,,,125,88,,37,,,,1098.5094577500001,,,,,,,,
googleadwords_int,SER|ACQ|Interests - BR,,,124,,,124,239.23244099999997,1.9292938790322578,,239.56568845999996,,,1.0013929860791748,,,,,
googleadwords_int,SER|ACQ|Animals - BR,,,124,1,1,122,92.41680299999999,0.7452967983870967,,280.11579382,,,3.0310050199420995,,,,,
googleadwords_int,SER|ACQ|Father's Day - BR,,,123,15,1,107,,,,587.46142817,,,,,,,,
Facebook Ads,Mday25 - Misc - Acquisition,,,115,75,1,39,,,,693.3378075399999,,,,,,,,
googleadwords_int,SER|ACQ|Brand - BR,1175,327,113,2,3,108,354.219701,3.1346876194690263,,277.48231218,,,0.7833621659005353,,,,,
tiktokglobal_int,FD25 - Acquisition - Tiktok,,,111,111,,,,,,555.9422133099999,,,,,,,,
googleadwords_int,SER|ACQ|INT|Send Abroad - BR,,,108,1,1,106,224.247172,2.076362703703704,,266.36359408,,,1.1878125003957685,,,,,
googleadwords_int,SER|ACQ|Mother's Day - BR,,,108,,2,106,,,,261.07781135,,,,,,,,
Facebook Ads,Newyear24 - Dynamic - Retention,,,107,69,1,37,,,,875.78823948,,,,,,,,
Facebook Ads,Mothers24 - A+ - acquisition Campaign,,,105,74,,31,,,,1079.64001728,,,,,,,,
googleadwords_int,SHP|RET|All Products - Brand,14622,103,104,,,104,45.32,0.4357692307692308,,350.69260592,,,7.738142231244484,,,,,
Facebook Ads,Mothers24 - Styles - Retention,,,103,77,3,23,,,,641.2500185,,,,,,,,
googleadwords_int,SER|ACQ|Birthday - MM Google Ads Tag,,,103,,,103,,,,274.04251853,,,,,,,,
googleadwords_int,SER|ACQ|Mother's Day - DSA,,,103,1,2,100,,,,337.48532705,,,,,,,,
Facebook Ads,NewYear24A - Style - Acquisition,,,101,74,,27,,,,477.29376387,,,,,,,,
Facebook Ads,Retention_FD25_Hero,,,101,51,,50,,,,587.67041432,,,,,,,,
googleadwords_int,SER|ACQ|Thank You - BR,,,101,,1,100,,,,181.11803847000004,,,,,,,,
googleadwords_int,SER|RET|Birthday - BR,4981,809,100,,1,99,1048.7996200000002,10.487996200000003,,250.37747268,,,0.23872765388683106,,,,,
Facebook Ads,NewYear24 - Style - Retention,,,100,72,,28,,,,840.29894886,,,,,,,,
Facebook Ads,NewYear24 - Catalogue - retention,,,100,60,,40,,,,630.64405605,,,,,,,,
googleadwords_int,SER|ACQ|Christmas - EX,,,99,,,99,,,,153.08631946,,,,,,,,
Facebook Ads,Fday24 - Interests - Retention,,,99,51,,48,,,,895.97023508,,,,,,,,
Facebook Ads,Retention_FD25_Targeted,,,99,39,,60,,,,568.0998899399999,,,,,,,,
googleadwords_int,SER|ACQ|Congratulations - BR,11923,873,98,,1,97,799.1816680000002,8.154914979591839,,276.38795030000006,,,0.3458387014703145,,,,,
googleadwords_int,SER|ACQ|Just Because - BR,1507,100,95,2,,93,140.930001,1.483473694736842,,202.57019479999997,,,1.4373816317506445,,,,,
card-back-thortful,card-back-vday-faceswap,,199,93,53,4,36,,,,271.23923577999994,,,,,,,,
Facebook Ads,Mday25 - T1 - Retention,,,92,60,,32,,,,744.36600019,,,,,,,,
googleadwords_int,SER|RET|Father's Day - EX,,,91,,,91,,,,338.07015724999997,,,,,,,,
googleadwords_int,SER|RET|INT|Send to UK - EX,147,131,88,1,1,86,95.99502799999999,1.0908525909090907,,486.1493743599999,,,5.0643182724005245,,,,,
bing_organic_seo,None,,87,87,,,87,,,,343.43545469,,,,,,,,
Facebook Ads,Valentines24 - previousbuyers - retention,,,86,59,1,26,,,,797.5809897000001,,,,,,,,
googleadwords_int,DMG|ACQ|Valentine's Day 25,,,86,,,86,,,,405.88,,,,,,,,
googleadwords_int,SER|RET|Valentine's - BR,,,85,,,85,,,,175.36501470000002,,,,,,,,
Facebook Ads,FDay24 - Dynamic - Acquisition,,,84,46,,38,,,,594.60539735,,,,,,,,
Facebook Ads,Valentines24 - Gifting - Retention,,,83,65,1,17,,,,746.6059122900001,,,,,,,,
Facebook Ads,Christmas24 - Styles - Retention,,,82,48,,34,,,,683.7386967999998,,,,,,,,
Facebook Ads,Retention_FD25_HighPotential,,,81,44,,37,,,,519.2268907,,,,,,,,
googleadwords_int,SER|ACQ|Sympathy - EX,1295,160,81,,,81,462.13708900000006,5.7053961604938275,,245.69599114,,,0.5316517479080757,,,,,
Facebook Ads,Q225 - Anniversary - Retention,,,79,40,,39,,,,343.57332685,,,,,,,,
tiktokglobal_int,MD25 - Carousel - Acquisition,,,79,79,,,,,,508.45076434000003,,,,,,,,
Facebook Ads,Acquisition_FD25_FSAndroid,,,78,76,,2,,,,46.34,,,,,,,,
googleadwords_int,SER|ACQ|Leaving - BR,3318,385,78,,,78,604.274285,7.747106217948717,,139.25761806999998,,,0.2304543177275862,,,,,
googleadwords_int,SER|ACQ|Birthday - MM Corvidae Test - Birthday Acq,,,77,,,77,,,,197.31155799,,,,,,,,
Facebook Ads,Mday25 - Hero - Retention,,,75,42,,33,,,,584.27635674,,,,,,,,
Facebook Ads,Acquisition_FD25_HighPotential,,,74,46,,28,,,,258.71366957,,,,,,,,
Facebook Ads,Q1FY25 - BAU - Retention,,,73,39,,34,,,,388.86841359,,,,,,,,
bloomreach,BAU_F_020625_FDThePerfectCard,,2989,72,72,,,,,,448.58629539000003,,,,,,,,
Facebook Ads,Vday25 - retargeting - Retention,,,72,43,,29,,,,492.93935584999997,,,,,,,,
Social_Influencers,pr-influencer-face-swap-2025-01-27,,370,71,71,,,,,,87.17964345000001,,,,,,,,
Facebook Ads,FDay24 - Catalogue - Acquisition,,,70,53,,17,,,,465.89472377000004,,,,,,,,
googleadwords_int,SER|ACQ|Good Luck - BR,,,69,,,69,45.888742,0.665054231884058,,184.4186294,,,4.018820768719264,,,,,
af_banner,fullscreen_homepage_test1,907,154,69,69,,,,,,793.5081016199999,,,,,,,,
googleadwords_int,Shoptimised | Incremental | Performance Max | Thank you & Others | ACQ,,,68,4,,64,,,,182.75854669999998,,,,,,,,
google_organic_seo,our-tonys-chocolonely-gifts,,68,68,,,68,,,,336.69976697,,,,,,,,
googleadwords_int,SER|ACQ|Christmas - BR,,,68,,1,67,,,,160.9624232,,,,,,,,
Facebook Ads,Vday25 - Advantage+ - Acquisition Campaign,,,68,53,,15,,,,284.78417066,,,,,,,,
Facebook Ads,Mday25 - Misc - Retention,,,67,43,,24,,,,529.40290123,,,,,,,,
Facebook Ads,Q225 - Birthday - Retention,,,67,44,,23,,,,619.7024391,,,,,,,,
Facebook Ads,Retention_FD25_T1,,,66,36,,30,,,,494.41318333,,,,,,,,
Facebook Ads,Valentines24 - video - retention,,,65,50,,15,,,,561.13826531,,,,,,,,
googleadwords_int,SHP|RET|Father's Day 24,,,64,,,64,,,,243.53824638999998,,,,,,,,
print,app_20_flyer,,82,64,58,,6,,,,466.60970482,,,,,,,,
googleadwords_int,SER|ACQ|Leaving - MM,,,64,,1,63,,,,84.02290604000001,,,,,,,,
Facebook Ads,FDay24 - Styles - Retention,,,64,39,,25,,,,463.01799071,,,,,,,,
googleadwords_int,SER|ACQ|Interests - MM,,,64,,,64,,,,162.77810259,,,,,,,,
googleadwords_int,SER|ACQ|Engagements & Weddings - BR,,,63,,,63,,,,193.28631531,,,,,,,,
Facebook Ads,Vday25 - T1 Creative - Acquisition,,,63,43,,20,,,,297.31929235999996,,,,,,,,
Facebook Ads,Retention_FD25_Statics,,,63,31,,32,,,,376.03300294999997,,,,,,,,
googleadwords_int,DMG|ACQ|Mother's Day 25,,,62,,,62,,,,334.27,,,,,,,,
googleadwords_int,SER|RET|Thank You - BR,,,61,1,1,59,,,,191.42847767,,,,,,,,
googleadwords_int,Shoptimised | Performance MAX | NoClicks | Incremental ACQ,,,61,1,1,59,,,,181.14999999999998,,,,,,,,
googleadwords_int,SER|ACQ|TV Shows - MM,,,60,,,60,,,,117.74019552000001,,,,,,,,
Facebook Ads,Spring24 - Anniversary - Retention,868942,9396,60,43,,17,2127.7978650000005,35.46329775000001,,344.96864272000005,,,0.16212472453063578,,,,,
Facebook Ads,Mday25 - targeted - Retention,,,58,40,,18,,,,685.0737220000001,,,,,,,,
googleadwords_int,SER|ACQ|Birthday - MM Corvidae Test,,,56,,,56,,,,120.71592968000002,,,,,,,,
googleadwords_int,SER|ACQ|Anniversaries - BR,6049,630,56,,2,54,642.351202,11.470557178571427,,65.37252854,,,0.10177069543336825,,,,,
googleadwords_int,SER|RET|Mother's Day - EX,,,56,1,,55,,,,199.9395024,,,,,,,,
googleadwords_int,SER|RET|Engagements & Weddings - MM,,,56,,,56,73.082521,1.3050450178571429,,112.43927674999998,,,1.5385248786094827,,,,,
googleadwords_int,SER|ACQ|INT|Send to UK - BR,,,56,1,,55,85.99631699999999,1.5356485178571426,,166.27872183,,,1.9335563153245274,,,,,
googleadwords_int,DMG|ACQ|Mother's Day 24,,,56,1,1,54,,,,341.55,,,,,,,,
googleadwords_int,SER|RET|Christmas - EX Corvidae Test - Christmas Returning,,,55,,,55,,,,146.75607144999998,,,,,,,,
ecosia_organic_seo,None,,55,55,,,55,,,,273.98137124000004,,,,,,,,
googleadwords_int,SHP|RET|Father's Day 25,,,54,,,54,,,,113.50120074,,,,,,,,
googleadwords_int,SER|ACQ|Generic Cards - MM - tROAS Test,,,54,,,54,,,,188.68701285000003,,,,,,,,
googleadwords_int,SER|ACQ|Generic Cards - BR Corvidae Test,,,54,,,54,,,,137.36611831,,,,,,,,
Facebook Ads,Acquisition_FD25_Targeted,,,53,21,,32,,,,152.88697578999998,,,,,,,,
Facebook Ads,Christmas24 - Demographics - Acquisition,,,51,37,,14,,,,391.54980890999997,,,,,,,,
googleadwords_int,SER|ACQ|Gifts - BR,,,50,,,50,,,,137.49924527,,,,,,,,
googleadwords_int,SER|ACQ|INT|Send to UK - EX - tROAS Test,,,50,1,,49,,,,194.64932733,,,,,,,,
