media-source,campaign,impressions,clicks,installs appsflyer,installs-ua appsflyer,installs-reattr appsflyer,installs-retarget appsflyer,installs-cost,ecpi appsflyer,revenue activity days cumulative appsflyer,revenue ltv days cumulative appsflyer,roas 1 days cumulative appsflyer,roas 7 days cumulative appsflyer,roas ltv days cumulative appsflyer,retention-rate 1 days on-period appsflyer,retention-rate 3 days on-period appsflyer,unique-users ltv days cumulative appsflyer Screen Viewed,ecpa ltv days cumulative appsflyer Screen Viewed,revenue ltv days cumulative appsflyer Screen Viewed,unique-users ltv days cumulative appsflyer Application Foregrounded,ecpa ltv days cumulative appsflyer Application Foregrounded,revenue ltv days cumulative appsflyer Application Foregrounded
website-thortful,web-blog-face-swap,,194,115,115,,,,,585.76125304,221.85964518000003,,,,0.09565217391304348,0.017391304347826087,54,,0.0,54,,0.0
googleadwords_int,SER|ACQ|Birthday - MM,,,110,,,110,,,211.28922641000003,211.89886345999997,,,,0.07272727272727272,0.01818181818181818,75,,0.0,63,,0.0
website-thortful,web-footer-download-button,,481,107,107,,,,,1612.2949161800002,465.1144770200001,,,,0.1308411214953271,0.06542056074766354,58,,,57,,
googleadwords_int,SER|RET|Birthday - MM,,,92,,,92,,,246.64685327999996,227.22177804,,,,0.07608695652173914,0.010869565217391304,38,,,31,,
website-thortful,web-account-download-banner-app20,,266,81,81,,,,,1033.96719609,440.68340437999996,,,,0.14814814814814814,0.06172839506172839,48,,0.0,48,,0.0
website-thortful,web-homepage-download-banne-app20r,,114,63,63,,,,,478.38561956,232.73290959999997,,,,0.12698412698412698,0.031746031746031744,52,,,52,,
googleadwords_int,SHP|ACQ|Zombie,,,57,,1,56,,,205.86288901999998,123.92288902000001,,,,0.05263157894736842,0.03508771929824561,31,,,30,,
googleadwords_int,Shoptimised | IP | Incremental | Performance Max |ACQ|,,,55,,,55,,,96.90227062,96.90227062,,,,0.07272727272727272,,17,,,14,,
googleadwords_int,SER|ACQ|Generic Cards - MM,,,55,,,55,,,171.20478803000003,146.83478803,,,,0.09090909090909091,0.01818181818181818,41,,,23,,
googleadwords_int,SER|ACQ|INT|Send to UK - MM,,,51,1,1,49,,,161.62160300000002,157.56699095000002,,,,0.0784313725490196,0.0196078431372549,44,,0.0,37,,0.0
Facebook Ads,Retention_Summer25_Anniversary,,,51,35,,16,,,254.48906122000002,254.48906121999997,,,,0.13725490196078433,0.0784313725490196,13,,,11,,
transactional_postmark,footer-transactional,,505,43,28,,15,,,248.45759033,91.08330326000001,,,,0.18604651162790697,0.023255813953488372,20,,0.0,21,,0.0
googleadwords_int,SHP|ACQ|Birthday,,,43,,,43,,,131.86316589999998,131.86316589999998,,,,0.046511627906976744,,25,,,23,,
googleadwords_int,SHP|ACQ|All Products - Brand,,,38,,,38,,,172.13459496000002,146.90459496,,,,0.07894736842105263,,17,,,17,,
website-thortful,web-blog-download-link,,89,38,38,,,,,246.70572573000004,198.41445815000003,,,,0.13157894736842105,,30,,,30,,
googleadwords_int,SER|RET|Congratulations - MM,,,33,,,33,,,86.77115427,60.30115427000001,,,,0.06060606060606061,0.030303030303030304,20,,,19,,
googleadwords_int,SER|ACQ|Birthday - MM Google Ads Tag,,,32,,,32,,,77.22716312,66.24716312,,,,0.0625,0.03125,20,,,18,,
googleadwords_int,SER|ACQ|Engagements & Weddings - MM,,,26,,,26,,,34.489178790000004,34.489178790000004,,,,0.11538461538461539,0.07692307692307693,18,,,13,,
googleadwords_int,SER|ACQ|Generic Cards - MM - Google Ads Tag Test,,,24,,,24,,,53.2229306,53.2229306,,,,0.08333333333333333,,16,,,10,,
QR_code,Face-swap-flyer-14-Jan,,33,23,23,,,,,122.61912507,19.97690272,,,,0.17391304347826086,,12,,,12,,
googleadwords_int,SER|RET|Generic Cards - MM,,,22,,,22,,,43.43119935,43.43119935,,,,0.045454545454545456,0.045454545454545456,12,,,7,,
Facebook Ads,Retention_Summer25_Anniversary_corvidae,,,20,12,,8,,,83.39639757,89.10428877,,,,0.15,0.1,9,,0.0,6,,0.0
googleadwords_int,Shoptimised | Performance MAX | NoClicks | Incremental ACQ,,,18,,,18,,,51.410000000000004,51.41,,,,0.05555555555555555,,,,,,,
googleadwords_int,None,,,16,,,16,,,45.2786553,45.2786553,,,,0.125,,14,,,14,,
googleadwords_int,SER|ACQ|Anniversaries - MM,,,15,,,15,,,45.5377784,45.5377784,,,,0.13333333333333333,,12,,,7,,
Facebook Ads,Acquisition_Summer25_Anniversary,,,15,12,,3,,,38.0657014,38.0657014,,,,0.06666666666666667,,3,,,4,,
duckduckgo_organic_seo,None,,14,14,,,14,,,36.618909529999996,26.53887767,,,,,0.14285714285714285,9,,,7,,
bloomreach,BAU_EMAIL_AppBenefits_14_08_25,,2165,14,14,,,,,11.38,11.38,,,,0.07142857142857142,,10,,,10,,
yahoo_organic_seo,None,,14,14,,,14,,,65.67177885999999,59.05315966,,,,0.07142857142857142,0.14285714285714285,11,,0.0,12,,0.0
Facebook Ads,Retention_Summer25_Cardpacks,,,13,9,,4,,,75.608672,75.608672,,,,0.07692307692307693,0.07692307692307693,1,,,1,,
googleadwords_int,SHP|ACQ|Wedding,,,13,,,13,,,4.047749550000001,4.047749550000001,,,,,0.07692307692307693,8,,,10,,
googleadwords_int,SER|RET|Anniversaries - MM,,,12,,,12,,,53.2109553,37.710955299999995,,,,0.16666666666666666,0.08333333333333333,6,,,6,,
googleadwords_int,SER|RET|Brand - Long Tail Brand - EX,,,10,,,10,,,21.93117816,17.251178160000002,,,,0.1,,6,,,5,,
googleadwords_int,SER|ACQ|Leaving - MM,,,10,,,10,,,23.9029596,23.9029596,,,,0.3,,10,,,10,,
googleadwords_int,SER|ACQ|Just Because - MM,,,8,,,8,,,19.94795438,19.947954380000002,,,,,,6,,,5,,
googleadwords_int,22763518054,,,8,,,8,,,25.243338809999997,25.243338809999997,,,,0.375,,8,,,7,,
Facebook Ads,Retention_Summer25_Birthdayvideo,,,8,6,,2,,,13.828854500000002,26.8188545,,,,,,3,,,3,,
googleadwords_int,SER|ACQ|Animals - MM,,,7,,,7,,,24.30772001,24.307720010000004,,,,0.14285714285714285,,6,,,6,,
googleadwords_int,22858786776,,,7,,,7,,,59.60488201999999,59.604882019999984,,,,,,7,,,7,,
googleadwords_int,SER|RET|Engagements & Weddings - MM,,,7,,,7,,,9.5506785,4.060678500000001,,,,,,4,,,4,,
googleadwords_int,SER|ACQ|Congratulations - MM,,,7,,,7,,,13.0348591,13.0348591,,,,0.2857142857142857,,5,,,3,,
googleadwords_int,SER|ACQ|INT|Send Abroad - MM,,,6,,,6,,,17.2635248,17.2635248,,,,0.5,,4,,,3,,
googleadwords_int,Shoptimised | Incremental | Performance Max | Thank you & Others | ACQ,,,6,,,6,,,0.0,0.0,,,,,,2,,,2,,
ecosia_organic_seo,None,,6,6,,,6,,,22.38071935,18.2388712,,,,,0.16666666666666666,3,,,3,,
googleadwords_int,SER|ACQ|Gifts - MM,,,6,,,6,,,10.501147799999998,10.501147799999998,,,,,,3,,,3,,
Facebook Ads,Acquisition_Summer25_Anniversary_corvidae,,,6,5,,1,,,29.68817955,29.68817955,,,,,0.3333333333333333,1,,,1,,
googleadwords_int,SER|ACQ|Interests - MM,,,6,,,6,,,4.12043715,4.12043715,,,,,0.16666666666666666,5,,,3,,
googleadwords_int,SER|RET|Anniversaries - BR,,,5,,,5,,,33.43411802,18.75411802,,,,,,3,,,3,,
googleadwords_int,22773168615,,,5,,,5,,,25.581896009999998,25.58189601,,,,,,4,,,4,,
googleadwords_int,SER|RET|Brand - Pure Brand - BR,,,5,,,5,,,9.57577335,9.57577335,,,,,,3,,,3,,
googleadwords_int,SER|ACQ|Just Because - BR,,,5,,,5,,,19.0514602,3.4714601999999997,,,,,0.4,5,,,4,,
googleadwords_int,SER|ACQ|Thank You - MM,,,5,,,5,,,0.0,0.0,,,,,,1,,,2,,
googleadwords_int,SER|ACQ|Get Well Soon - MM,,,4,,,4,,,0.0,0.0,,,,0.25,,3,,,,,
googleadwords_int,SER|ACQ|TV Shows - MM,,,4,,,4,,,3.469401,3.4694009999999995,,,,,,3,,,2,,
bing_organic_seo,None,,4,4,,,4,,,53.37330654,39.362624939999996,,,,0.5,0.25,3,,,3,,
googleadwords_int,22715090108,,,4,,,4,,,0.0,0.0,,,,0.25,,4,,0.0,3,,0.0
googleadwords_int,SHP|ACQ|Birthday Card Packs,,,4,,,4,,,6.852500479999999,6.852500479999999,,,,0.25,,3,,,2,,
google_organic_seo,nio-cocktails,,3,3,,,3,,,11.67492032,11.674920320000002,,,,,,1,,,1,,
card-back-thortful,card-back-vday-faceswap,,6,3,3,,,,,7.3482942399999995,7.348294239999999,,,,,,3,,0.0,3,,0.0
googleadwords_int,SHP|RET|All Products - Generics,,,3,,,3,,,5.49,0.0,,,,0.3333333333333333,,,,,,,
googleadwords_int,22839563471,,,3,,,3,,,8.29808955,8.29808955,,,,,0.3333333333333333,2,,,2,,
googleadwords_int,SER|RET|INT|Send Abroad - MM,,,3,,,3,,,,0.0,,,,,,,,,,,
googleadwords_int,SER|RET|Interests - MM,,,3,,,3,,,13.818034870000002,13.818034870000002,,,,,,2,,,2,,
googleadwords_int,SER|RET|Thank You - MM,,,3,,,3,,,9.80266968,9.80266968,,,,,,2,,,2,,
googleadwords_int,Shoptimised | Incremental | Performance Max | Trending | ACQ,,,3,,,3,,,4.68,4.68,,,,,0.3333333333333333,1,,,,,
googleadwords_int,SER|RET|Congratulations - BR,,,3,,,3,,,9.36,4.68,,,,,,1,,,,,
google_organic_seo,our-biscuiteers-range,,2,2,,,2,,,15.18,15.18,,,,,,1,,,1,,
google_organic_seo,flower-and-plants,,2,2,,,2,,,26.7200384,26.7200384,,,,,,1,,,1,,
googleadwords_int,SER|ACQ|Sympathy - EX,,,2,,,2,,,0.0,0.0,,,,,,1,,,,,
googleadwords_int,SER|RET|TV Shows - MM,,,2,,,2,,,0.0,0.0,,,,,,,,,,,
google_organic_seo,birthday-card-packs,,2,2,,,2,,,8.32372955,8.32372955,,,,,,1,,,1,,
googleadwords_int,SER|RET|Leaving - MM,,,2,,,2,,,3.5429003999999997,3.5429003999999997,,,,,,2,,,2,,
googleadwords_int,SER|ACQ|Faith - MM,,,2,,,2,,,0.0,0.0,,,,,,2,,,1,,
Facebook Ads,Retention_Summer25_Birthdaystatics,,,2,1,,1,,,44.11,44.11,,,,,,,,,,,
googleadwords_int,SER|RET|Sympathy - MM,,,1,,,1,,,,0.0,,,,,,,,,,,
googleadwords_int,SER|ACQ|Engagements & Weddings - BR,,,1,,,1,,,,0.0,,,,,,,,,,,
googleadwords_int,SER|ACQ|Misc - MM,,,1,,,1,,,0.0,0.0,,,,,,1,,,,,
googleadwords_int,22845856522,,,1,,,1,,,4.08117816,4.08117816,,,,,,1,,,1,,
googleadwords_int,SER|RET|Good Luck - MM,,,1,,,1,,,19.17,19.17,,,,1.0,,,,,,,
google_organic_seo,alcohol,,1,1,,,1,,,24.462614000000002,24.462614000000002,,,,1.0,,1,,,1,,
google_organic_seo,confectionery,,1,1,,,1,,,,0.0,,,,,,,,,,,
google_organic_seo,home-and-pampering,,1,1,,,1,,,,0.0,,,,,,,,,,,
google_organic_seo,our-tonys-chocolonely-gifts,,1,1,,,1,,,0.0,0.0,,,,1.0,1.0,1,,,1,,
googleadwords_int,SER|RET|Get Well Soon - MM,,,1,,,1,,,,0.0,,,,,,,,,,,
googleadwords_int,SER|RET|Animals - MM,,,1,,,1,,,,0.0,,,,,,,,,,,
googleadwords_int,SER|ACQ|INT|Send to UK - BR,,,1,,,1,,,0.0,0.0,,,,,,,,,1,,
Facebook Ads,Acquisition_Summer25_Birthdaystatics,,,1,1,,,,,3.5108423999999996,3.5108423999999996,,,,,,1,,,1,,
impactradius_int,GET35OFFAPP,,7,1,,,1,,,4.68,4.68,,,,,,,,,,,
googleadwords_int,SER|RET|Thank You - BR,,,1,,,1,,,10.98,0.0,,,,,,,,,,,
Facebook Ads,Brand_consideration_29/07,,,1,1,,,,,,0.0,,,,,,,,,,,
googleadwords_int,22807083839,,,1,,,1,,,0.0,0.0,,,,,,1,,,1,,
googleadwords_int,SER|RET|INT|Send to UK - EX,,,1,,,1,,,0.0,0.0,,,,,,1,,,1,,
googleadwords_int,Shoptimised | Performance MAX | NoClicks | New Customers Only | Incremental ACQ,,,1,,,1,,,,0.0,,,,,,,,,,,
googleadwords_int,SER|ACQ|Interests - BR,,,1,,,1,,,0.0,0.0,,,,,,1,,,1,,
googleadwords_int,SER|ACQ|Good Luck - MM,,,1,,,1,,,4.14371475,4.14371475,,,,,,1,,,1,,
googleadwords_int,SER|ACQ|Sorry - MM,,,1,,,1,,,46.9402536,46.9402536,,,,,,1,,,1,,
emarsys,app40_postpurchase,,,,,,,,,52.35624789999999,,,,,,,,,,,,
emarsys,crm-header-logo,,,,,,,,,9.06,,,,,,,,,,,,
Facebook Ads,Acquisition_FD25_Demographics,,,,,,,,,24.961764629999998,,,,,,,,,,,,
Facebook Ads,Acquisition_FD25_FSAndroid,,,,,,,,,5.49,,,,,,,,,,,,
Facebook Ads,Acquisition_FD25_Hero,,,,,,,,,23.94252964,,,,,,,,,,,,
Facebook Ads,Acquisition_FD25_HighPotential,,,,,,,,,27.28385705,,,,,,,,,,,,
Facebook Ads,Acquisition_FD25_Interests,,,,,,,,,21.96,,,,,,,,,,,,
Facebook Ads,Acquisition_FD25_T1,,,,,,,,,0.0,,,,,,,,,,,,
Facebook Ads,Acquisition_FD25_T2,,,,,,,,,18.763749269999998,,,,,,,,,,,,
Facebook Ads,Acquisition_FD25_Targeted,,,,,,,,,0.0,,,,,,,,,,,,
Facebook Ads,Acquisition_FD25_Templatetest,,,,,,,,,0.0,,,,,,,,,,,,
Facebook Ads,Acquisition_Summer25_Birthday,,,,,,,,,4.68,,,,,,,,,,,,
Facebook Ads,Mday25 - Demographics - Acquisition,,,,,,,,,5.09551085,,,,,,,,,,,,
Facebook Ads,Mday25 - Demographics - Retention,,,,,,,,,15.36,,,,,,,,,,,,
Facebook Ads,Mday25 - FS android - Retention,,,,,,,,,77.85,,,,,,,,,,,,
Facebook Ads,Mday25 - Hero - Acquisition,,,,,,,,,0.0,,,,,,,,,,,,
Facebook Ads,Mday25 - Hero - Retention,,,,,,,,,25.97,,,,,,,,,,,,
Facebook Ads,Mday25 - Interests - Acquisition,,,,,,,,,55.03,,,,,,,,,,,,
Facebook Ads,Mday25 - Interests - Retention,,,,,,,,,25.85,,,,,,,,,,,,
Facebook Ads,Mday25 - Misc - Acquisition,,,,,,,,,14.99,,,,,,,,,,,,
Facebook Ads,Mday25 - Misc - Retention,,,,,,,,,16.47,,,,,,,,,,,,
Facebook Ads,Mday25 - T1 - Retention,,,,,,,,,30.1034784,,,,,,,,,,,,
Facebook Ads,Mday25 - T2 - Acquisition,,,,,,,,,0.0,,,,,,,,,,,,
Facebook Ads,Mday25 - targeted - Retention,,,,,,,,,17.85,,,,,,,,,,,,
Facebook Ads,Q1FY25 - BAU - Acquisition,,,,,,,,,0.0,,,,,,,,,,,,
Facebook Ads,Q1FY25 - BAU - Retention,,,,,,,,,9.28,,,,,,,,,,,,
Facebook Ads,Q225 - Anniversary - Retention,,,,,,,,,4.68,,,,,,,,,,,,
Facebook Ads,Q225 - Birthday - Retention,,,,,,,,,10.17,,,,,,,,,,,,
Facebook Ads,Q225 - Easter - Retention,,,,,,,,,28.060000000000002,,,,,,,,,,,,
Facebook Ads,Q225 - Spring Discount Campaign - Retention,,,,,,,,,35.797408600000004,,,,,,,,,,,,
Facebook Ads,Retention_FD25_Demographics,,,,,,,,,55.26792002,,,,,,,,,,,,
Facebook Ads,Retention_FD25_FSAndroid,,,,,,,,,28.810000000000002,,,,,,,,,,,,
Facebook Ads,Retention_FD25_FSIOS,,,,,,,,,8.43494135,,,,,,,,,,,,
Facebook Ads,Retention_FD25_Hero,,,,,,,,,23.64,,,,,,,,,,,,
Facebook Ads,Retention_FD25_HighPotential,,,,,,,,,15.649913470000001,,,,,,,,,,,,
Facebook Ads,Retention_FD25_Interests,,,,,,,,,17.384109239999997,,,,,,,,,,,,
Facebook Ads,Retention_FD25_Promo,,,,,,,,,35.68,,,,,,,,,,,,
Facebook Ads,Retention_FD25_Statics,,,,,,,,,10.98,,,,,,,,,,,,
Facebook Ads,Retention_FD25_T1,,,,,,,,,3.486951,,,,,,,,,,,,
Facebook Ads,Retention_FD25_T2,,,,,,,,,45.475651119999995,,,,,,,,,,,,
Facebook Ads,Retention_FD25_Targeted,,,,,,,,,35.8408026,,,,,,,,,,,,
Facebook Ads,Retention_Summer25_Birthday,,,,,,,,,34.11180469999999,,,,,,,,,,,,
Facebook Ads,Retention_Summer25_ThankyouTeacher,,,,,,,,,0.0,,,,,,,,,,,,
Facebook Ads,Vday25 - Advantage+ - Acquisition Campaign,,,,,,,,,0.0,,,,,,,,,,,,
Facebook Ads,Vday25 - Advantage+ - Retention Campaign,,,,,,,,,15.66,,,,,,,,,,,,
Facebook Ads,Vday25 - Catalogue - Retention,,,,,,,,,45.94,,,,,,,,,,,,
Facebook Ads,Vday25 - Demographics - Acquisition,,,,,,,,,21.178521449999998,,,,,,,,,,,,
Facebook Ads,Vday25 - Demographics - Retention,,,,,,,,,73.38,,,,,,,,,,,,
Facebook Ads,Vday25 - FS android - Acquisition,,,,,,,,,5.69,,,,,,,,,,,,
Facebook Ads,Vday25 - FS android - Retention,,,,,,,,,26.99,,,,,,,,,,,,
Facebook Ads,Vday25 - FS android APPINSTALL - Acquisition – Copy,,,,,,,,,0.0,,,,,,,,,,,,
Facebook Ads,Vday25 - FS android APPINSTALL - retention,,,,,,,,,19.67,,,,,,,,,,,,
Facebook Ads,Vday25 - Interests - Acquisition,,,,,,,,,9.36,,,,,,,,,,,,
Facebook Ads,Vday25 - Interests - Retention,,,,,,,,,26.95,,,,,,,,,,,,
Facebook Ads,Vday25 - Online Overwhelmed - Acquisition,,,,,,,,,8.199479700000001,,,,,,,,,,,,
Facebook Ads,Vday25 - Online thoughtful - Acquisition,,,,,,,,,10.98,,,,,,,,,,,,
Facebook Ads,Vday25 - T1 Creative - Acquisition,,,,,,,,,0.0,,,,,,,,,,,,
Facebook Ads,Vday25 - T1 Creative - Retention,,,,,,,,,59.204606319999996,,,,,,,,,,,,
Facebook Ads,Vday25 - T2 - Retention,,,,,,,,,52.63,,,,,,,,,,,,
Facebook Ads,Vday25 - hero - Retention,,,,,,,,,34.470000000000006,,,,,,,,,,,,
Facebook Ads,Vday25 - retargeting - Retention,,,,,,,,,10.33043984,,,,,,,,,,,,
googleadwords_int,SER|ACQ|Leaving - EX,,,,,,,,,7.68,,,,,,,,,,,,
googleadwords_int,SER|RET|Good Luck - BR,,,,,,,,,10.98,,,,,,,,,,,,
bloomreach,BAU_G_090425_Photocards,,,,,,,,,4.68,,,,,,,,,,,,
bloomreach,beta_test,,,,,,,,,0.0,,,,,,,,,,,,
bloomreach,BAU_M_050325_MDfaceswap,,,,,,,,,186.23453977000003,,,,,,,,,,,,
bloomreach,BAU_G_020625_ThePerfectCard,,,,,,,,,0.0,,,,,,,,,,,,
bloomreach,BAU_v_220125_faceswap_bday,,15,,,,,,,206.17238468,0.0,,,,,,,,,,,
bloomreach,BAU_F_020625_FDThePerfectCard,,27,,,,,,,18.2967319,0.0,,,,,,,,,,,
bloomreach,BAU_F_210525_Faceswap,,1,,,,,,,26.03717305,0.0,,,,,,,,,,,
bloomreach,BAU_G_120525_ThisisThat,,16,,,,,,,14.411603359999999,0.0,,,,,,,,,,,
website-thortful,web-postpurchase-download-banner,,,,,,,,,125.14701462,,,,,,,,,,,,
website-thortful,web-homepage-download-banner,,,,,,,,,30.129212000000003,,,,,,,,,,,,
website-thortful,web-account-download-banner,,,,,,,,,0.0,,,,,,,,,,,,
website-thortful,web-PLP-download-modal,,,,,,,,,183.48036412999997,,,,,,,,,,,,
website-thortful,web-PLP-download-MODAL-vday-faceswap,,,,,,,,,117.06879182000002,,,,,,,,,,,,
website-thortful,web-PLP-download-MODAL-mday25,,,,,,,,,1558.1582292599999,,,,,,,,,,,,
website-thortful,web-PLP-download-MODAL-fday40-2024,,,,,,,,,201.72388302,,,,,,,,,,,,
website-thortful,web-PLP-download-MODAL-fday30-paid-2024,,,,,,,,,0.0,,,,,,,,,,,,
website-thortful,web-PLP-download-MODAL-fday30-2024,,,,,,,,,176.26486674000003,,,,,,,,,,,,
website-thortful,web-PLP-download-BANNER-vday-faceswap,,,,,,,,,95.80876296,,,,,,,,,,,,
website-thortful,web-PLP-download-BANNER-mday-faceswap,,,,,,,,,9.744223259999998,,,,,,,,,,,,
print,app_20_flyer,,,,,,,,,0.0,,,,,,,,,,,,
website-thortful,web-PDP-download-MODAL-fday40-2024,,,,,,,,,175.14642579,,,,,,,,,,,,
website-thortful,web-PDP-download-MODAL-fday30-2024,,,,,,,,,157.14487481,,,,,,,,,,,,
print,print_App40Flyer2024,,,,,,,,,21.986051189999998,,,,,,,,,,,,
website-thortful,web-PDP-download-CTA,,,,,,,,,538.4277897200001,,,,,,,,,,,,
website-thortful,web-PLP-download-MODAL-bday-faceswap,,3,,,,,,,437.05080509,0.0,,,,,,,,,,,
tiktokglobal_int,FD25 - Acquisition - Tiktok,,,,,,,,,10.928305799999999,,,,,,,,,,,,
tiktokglobal_int,FD25 - Retention - Tiktok,,,,,,,,,0.0,,,,,,,,,,,,
tiktokglobal_int,MD25 - Carousel - Acquisition,,,,,,,,,17.0355869,,,,,,,,,,,,
website-thortful,web-PDP-MDAY-NEWAPP25,,7,,,,,,,1941.5195581,0.0,,,,,,,,,,,
tiktokglobal_int,Valentines25 - Demographics - Retention,,,,,,,,,6.7162671,,,,,,,,,,,,
tiktokglobal_int,Valentines25 - Hero - Acquisition,,,,,,,,,54.8516359,,,,,,,,,,,,
tiktokglobal_int,Valentines25 - Hero - Retention,,,,,,,,,6.99024352,,,,,,,,,,,,
None,None,,1,,,,,,,,0.0,,,,,,,,,,,
Social_Influencers,pr-general-face-swap-2025-01-27,,1,,,,,,,,0.0,,,,,,,,,,,
Social_Influencers,pr-influencer-face-swap-2025-01-27,,,,,,,,,0.0,,,,,,,,,,,,
Apple Search Ads,18861888,,,,,,,,,514.50912571,,,,,,,,,,,,
emarsys,App Stores Download Button,,,,,,,,,7.1810259,,,,,,,,,,,,
emarsys,app180424,,,,,,,,,1.330938,,,,,,,,,,,,
